"","x"
"1",4
"2",4
"3",4
"4",4
"5",4
"6",4
"7",4
"8",4
"9",4
"10",4
"11",4
"12",4
"13",4
"14",4
"15",4
"16",4
"17",4
"18",4
"19",4
"20",4
"21",3
"22",4
"23",4
"24",3
"25",4
"26",4
"27",4
"28",4
"29",4
"30",4
"31",4
"32",4
"33",4
"34",4
"35",4
"36",4
"37",1
"38",1
"39",4
"40",4
"41",4
"42",4
"43",4
"44",1
"45",4
"46",1
"47",4
"48",4
"49",4
"50",4
"51",4
"52",4
"53",3
"54",4
"55",4
"56",4
"57",4
"58",1
"59",4
"60",4
"61",4
"62",4
"63",3
"64",3
"65",3
"66",3
"67",1
"68",1
"69",4
"70",4
"71",1
"72",3
"73",3
"74",1
"75",4
"76",2
"77",4
"78",1
"79",3
"80",2
"81",4
"82",4
"83",3
"84",2
"85",2
"86",1
"87",2
"88",1
"89",1
"90",1
"91",1
"92",1
"93",3
"94",3
"95",2
"96",2
"97",1
"98",3
"99",3
"100",2
"101",3
"102",2
"103",1
"104",1
"105",3
"106",1
"107",1
"108",1
"109",1
"110",2
"111",2
"112",2
"113",1
"114",1
"115",1
"116",1
"117",3
"118",1
"119",1
"120",3
"121",3
"122",2
"123",4
"124",2
"125",2
"126",2
"127",2
"128",2
"129",2
"130",2
"131",2
"132",2
"133",2
"134",2
"135",2
"136",2
"137",2
"138",1
"139",1
"140",1
"141",2
"142",2
"143",2
"144",2
"145",1
"146",1
"147",3
"148",3
"149",3
"150",2
"151",2
"152",2
"153",3
"154",3
"155",2
"156",3
"157",2
"158",1
"159",1
"160",3
"161",3
"162",3
"163",2
"164",2
"165",2
"166",1
"167",2
"168",3
"169",1
"170",1
"171",1
"172",3
"173",3
"174",3
"175",1
"176",3
"177",3
"178",2
"179",2
"180",2
"181",2
"182",2
"183",1
